Date,Active Energy,Exercise Time ,Body Fat,Sleep Asleep,Sleep Idel,Sleep In Bed,Weight
5/3/2022 0:00,234.29,12,,8.916666667,6.066666663,14.98333333, 
5/4/2022 0:00,324.27,25,,11.31666667,5.66666666,16.98333333, 
5/5/2022 0:00,331.86,38,,9.066666667,4.783333333,13.85, 
5/6/2022 0:00,457.02,59,,8.95,0.166666667,9.116666667, 
5/7/2022 0:00,396.99,49,,9.033333333,0.25,9.283333333, 
5/8/2022 0:00,258.47,7,,9.883333333,0.116666667,10, 
5/9/2022 0:00,399.9,23,,7.733333333,0,7.733333333,55.62
5/10/2022 0:00,131.59,6,,,0,, 
5/11/2022 0:00,244.08,14,,11.01666667,0.38333333,11.4, 
5/12/2022 0:00,288.13,20,,8.566666667,2.616666663,11.18333333, 
5/13/2022 0:00,363.06,27,,10.03333333,0.2,10.23333333, 
5/14/2022 0:00,568.01,73,,8.916666667,3.050000003,11.96666667, 
5/15/2022 0:00,453.78,38,,6.233333333,0.663643751,6.896977084, 
5/16/2022 0:00,505.1,31,,3.516666667,1.405840365,4.922507032, 
5/17/2022 0:00,550.86,66,,9.1,0.870277999,9.970277999, 
5/18/2022 0:00,228.19,23,,5.916666667,3.933333333,9.85, 
5/19/2022 0:00,178.71,5,,9.133333333,1.283333337,10.41666667, 
5/20/2022 0:00,273.96,19,,10.88333333,0.6,11.48333333, 
5/21/2022 0:00,301.8,22,,8.016666667,0.15,8.166666667, 
5/22/2022 0:00,130.78,8,,10.38333333,0.33333334,10.71666667, 
5/23/2022 0:00,306.86,11,,12.18333333,0.4,12.58333333, 
5/24/2022 0:00,285.57,18,16.5,7.9,1.183333333,9.083333333,58.23
5/25/2022 0:00,300.41,26,,,0,, 
5/26/2022 0:00,345.52,18,16,6.966666667,0.712515168,7.679181835,57.5
5/27/2022 0:00,368.55,44,,10.11666667,4.71666666,14.83333333, 
5/28/2022 0:00,676.55,78,,7.833333333,2.699999997,10.53333333, 
5/29/2022 0:00,594.12,43,,,0,, 
5/30/2022 0:00,188.82,9,,3.625,0.610839361,4.235839361, 
